Table 1. Reported Voting and Registration, by Sex and Single Years of Age:  November 1998

Source:  U.S. Census Bureau
Internet Release Date:  July 19, 2000

(In thousands)
----------------------------------------------------------------------------------------------------------------------
|Sex and age       |       |             |             |             |             |    U.S. citizen     |  Not a   |
|                  |       |             |             |             |             |---------------------| citizen  |
|                  |       |  Reported   |     Not     |  Reported   |             | Reported |   Not    |----------|
|                  |       | registered  | registered  |    voted    |Did not vote |registered|registered|          |
|                  |       |-------------+-------------+-------------+-------------+----------+----------+----------|
|                  | Total |Number | Pct |Number | Pct |Number | Pct |Number | Pct |  Number  |  Number  |  Number  |
|------------------+-------+-------+-----+-------+-----+-------+-----+-------+-----+----------+----------+----------|
|BOTH SEXES        |       |       |     |       |     |       |     |       |     |          |          |          |
|  Total 18 years  |       |       |     |       |     |       |     |       |     |          |          |          |
|  51 years        |  1,772|  1,235| 69.7|    537| 30.3|    937| 52.9|    835| 47.1|     1,235|       448|        89|
|  52 years        |  1,473|  1,046| 71.1|    426| 28.9|    781| 53.0|    691| 47.0|     1,046|       347|        79|
|  53 years        |  1,289|    887| 68.8|    402| 31.2|    698| 54.2|    591| 45.8|       887|       338|        64|
|  54 years        |  1,382|    982| 71.0|    400| 29.0|    742| 53.7|    640| 46.3|       982|       329|        71|
|  55 years        |  1,409|  1,068| 75.8|    341| 24.2|    800| 56.8|    609| 43.2|     1,068|       286|        55|
|  56 years        |  1,313|    925| 70.4|    389| 29.6|    702| 53.4|    612| 46.6|       925|       322|        67|
|  57 years        |  1,151|    825| 71.7|    326| 28.3|    605| 52.6|    546| 47.4|       825|       284|        43|
|  58 years        |  1,040|    752| 72.3|    288| 27.7|    576| 55.3|    465| 44.7|       752|       249|        39|
|  59 years        |  1,080|    777| 72.0|    302| 28.0|    628| 58.2|    451| 41.8|       777|       231|        71|
|  60 years        |    918|    643| 70.1|    275| 29.9|    518| 56.4|    401| 43.6|       643|       237|        38|
|  61 years        |  1,073|    838| 78.1|    235| 21.9|    678| 63.2|    394| 36.8|       838|       190|        46|
|  62 years        |    948|    695| 73.4|    252| 26.6|    577| 60.9|    371| 39.1|       695|       215|        38|
|  63 years        |    996|    731| 73.4|    265| 26.6|    622| 62.4|    374| 37.6|       731|       217|        48|
|  64 years        |    887|    695| 78.4|    192| 21.6|    559| 63.0|    328| 37.0|       695|       174|        18|
|  65 years        |    925|    714| 77.2|    211| 22.8|    604| 65.3|    320| 34.7|       714|       186|        25|
|  66 years        |    826|    640| 77.5|    186| 22.5|    529| 64.0|    297| 36.0|       640|       161|        25|
|  67 years        |    829|    640| 77.3|    188| 22.7|    534| 64.4|    295| 35.6|       640|       164|        25|
|  68 years        |    919|    698| 76.0|    220| 24.0|    586| 63.8|    333| 36.2|       698|       185|        36|
|  69 years        |    796|    640| 80.4|    156| 19.6|    525| 66.0|    270| 34.0|       640|       145|        10|
