Bar0, 23204.20617383107
Bar1, 14612.266862069348
Bar2, 23221.317330040452
Bar3, 32129.81303168041
Bar4, 46652.906864605924
Bar5, 61163.52381279508
Bar6, 81681.76076145971
Bar7, 105119.58873839317
Bar8, 134315.4990210783
Bar9, 163349.20980219299
Bar10, 201391.231362837
Bar11, 224822.82089740215
Bar12, 268541.82501301274
Bar13, 294811.905825061
Bar14, 347553.7770857266
Bar16, 397078.6915652442
Bar17, 443792.14801754046
Bar18, 499264.37755464215
Bar19, 563495.3801765494
Bar21, 610125.4197423235
Bar22, 671520.2482224843
Bar23, 741590.4329009284
Bar24, 870052.4381447429
Bar25, 954574.5984131165
Bar27, 963479.3510493353
Bar28, 998514.4433885574
Bar30, 1191207.4512542791
Bar33, 1424774.7335157602
Bar35, 1392659.2322048065
Bar36, 1442211.1799345857
Bar38, 1480246.9630528616
Bar41, 1541558.3746465002
Bar44, 1632065.6965228242
Bar46, 1681552.7644519755
Bar47, 1792643.2030775924
Bar48, 1842276.2505581572
Bar49, 1897748.4800952584
Bar50, 1976496.3381077233
Bar51, 1982416.6199150456
Bar53, 2064165.168706564
Bar54, 2110716.4256572896
Bar55, 2075768.6715112207
Bar56, 2087521.8969327116
Bar57, 2096280.6700175174
Bar58, 2119637.3982436657
Bar60, 2034969.2584238788
Bar61, 1950600.5638377601
Bar62, 1947381.5275758232
Bar63, 1970571.4220289276
Bar64, 2067084.7597348322
Bar66, 2134235.353385008
Bar67, 2046647.6225369526
Bar68, 1955978.1011590587
Bar69, 1880230.9339256475
Bar70, 1938547.8931826004
Bar71, 1929863.9814062123
Bar72, 1915266.0262648698
Bar73, 1994013.8842773342
Bar74, 1993990.7129199675
Bar76, 2113798.2161871283
Bar78, 2186787.9918938414
Bar79, 2137073.844662491
Bar81, 2189707.58292211
Bar82, 2162782.465661411
Bar83, 2201385.9470351837
Bar84, 2251018.9945157487
Bar86, 2233420.3485953524
Bar87, 2250944.1332073314
Bar88, 2309410.815081119
Bar89, 2379480.999759563
Bar91, 2464149.13957935
Bar92, 2437789.403438411
Bar93, 2408676.910042248
Bar94, 2350118.255703834
Bar95, 2306491.2240528506
Bar97, 2265508.8166560438
Bar98, 2218903.493204795
Bar99, 2195397.0423618127
Bar100, 2201385.9470351837
Bar101, 2195463.348092125
Bar102, 2221823.0842330633
Bar103, 2154591.390832102
Bar104, 2131240.9010483227
Bar105, 2128233.9718269007
Bar106, 2131234.6626059543
Bar107, 2131240.9010483227
Bar108, 2145751.517996512
Bar109, 2148752.208775565
Bar111, 2119562.5369352484
Bar112, 2064084.0689557786
Bar113, 2096205.8087091004
Bar114, 2075760.115933116
Bar115, 2061164.47792751
Bar116, 2049567.2135652213
Bar117, 2070004.350763101
Bar118, 2061245.5776782953
Bar119, 2040641.6067073718
Bar120, 1988088.968198539
Bar121, 1947381.5275758232
Bar122, 1938622.754491018
Bar123, 1929863.9814062123
