Bar0, -34353.44552631976
Bar1, -40859.96267503235
Bar2, -45878.606076566444
Bar3, -80471.71122072956
Bar4, -113849.73838174512
Bar5, -142962.23177790816
Bar6, -178080.74100365234
Bar9, -218955.01539941152
Bar10, -259571.67882208806
Bar11, -300620.1473044077
Bar12, -356175.7937280315
Bar13, -382452.11298244813
Bar14, -437924.34251954977
Bar16, -461281.0707456978
Bar18, -525373.045223402
Bar20, -584211.2193043729
Bar21, -630617.3503852715
Bar22, -686089.5799223732
Bar23, -756410.0152603836
Bar24, -799870.213138323
Bar25, -875862.9967598263
Bar28, -943013.590410002
Bar29, -1080234.3687386222
Bar31, -1167709.807624052
Bar33, -1167822.0995866775
Bar35, -1194098.4188410942
Bar37, -1401389.3818481585
Bar39, -1658313.3923357874
Bar43, -1614380.4987675564
Bar44, -1661232.9833640556
Bar47, -1707946.4398163517
Bar48, -1763418.6693534537
Bar50, -1853842.5743432553
Bar51, -1900639.4476820738
Bar53, -2005744.7246997403
Bar55, -2043699.4080672308
Bar56, -2093332.4555477956
Bar58, -2151724.2761131655
Bar59, -2148804.6850848966
Bar60, -2210032.679792014
Bar61, -2253909.9621025636
Bar62, -2210116.096678536
Bar63, -2212952.270820282
Bar64, -2212960.826398387
Bar65, -2218874.8697633413
Bar67, -2110850.0017174063
Bar69, -2023112.548252517
Bar70, -2011583.9067562772
Bar71, -2020259.2629545608
Bar72, -2110850.0017174063
Bar73, -2183839.777424119
Bar75, -2096177.1852676463
Bar76, -2008580.8988414865
Bar77, -1926915.7669364903
Bar78, -1961950.8592757124
Bar79, -1959031.2682474437
Bar80, -1944433.3131061015
Bar81, -2020342.6798410825
Bar83, -2011583.9067562772
Bar84, -2110850.0017174063
Bar86, -2183839.777424119
Bar87, -2134456.98060312
Bar88, -2187066.6938237846
Bar89, -2148804.6850848966
Bar90, -2178000.595367582
Bar91, -2204693.9990546084
Bar92, -2180836.7695093285
Bar93, -2192598.5505089248
Bar94, -2250990.3710742947
Bar95, -2306387.7393029793
Bar96, -2388211.149402915
Bar97, -2353176.0570636927
Bar98, -2288945.054441786
Bar99, -2236392.4159329524
Bar100, -2198437.7325654617
Bar101, -2157413.735552869
Bar102, -2125447.956858749
Bar103, -2096252.0465760638
Bar104, -2104927.4027743475
Bar105, -2093249.0386612732
Bar106, -2122378.6432136465
Bar107, -2064053.1283785882
Bar108, -2043699.4080672308
Bar109, -2043699.4080672308
Bar110, -2043615.9911807084
Bar111, -2040779.8170389622
Bar112, -2052458.1811520364
Bar113, -2055377.7721803046
Bar114, -2034786.972296727
Bar116, -1976548.814417055
Bar117, -2002825.1336714716
Bar118, -1979551.8223318455
Bar119, -1970626.215473996
Bar120, -1956111.6772191755
Bar121, -1976548.814417055
Bar122, -1970634.7710521007
Bar123, -1944433.3131061015
Bar124, -1897553.0228807607
Bar125, -1856845.5822580461
Bar126, -1851006.400201509
Bar127, -1839328.0360884347
